course_name,description,level,duration,certificate,skills
الحماية الرقمية و التصدي للمخاطر الإلكترونية,"تهدف هذه الدورة إلى تزويد المتدربين بالمهارات الأساسية لحماية بياناتهم وأجهزتهم الرقمية من التهديدات الإلكترونية، والتعامل الآمن مع التقنيات الحديثة؛ تركّز الدورة على تعزيز الوعي الأمني الرقمي وتمكين المتدربين من التعرّف على أساليب الوقاية من الاختراقات والتصيّد والهندسة الاجتماعية.",مبتدئ,12 فيديو تعليمي,نعم,فهم أساسيات الحماية الرقمية والمخاطر الإلكترونية.
مقدمة في قواعد البيانات,"تهدف الدورة إلى التعرف على المفاهيم الأساسية لقواعد البيانات، والأنواع المختلفة لقواعد البيانات وأهميتها في إدارة وتنظيم المعلومات داخل الأنظمة الحديثة، كما سنتعرف على دور أنظمة إدارة قواعد البيانات (DBMS) وعلاقتها بالبنية التقنية من أجهزة وبرمجيات وبيانات؛ ثم ننتقل إلى دراسة خطوات تصميم قواعد البيانات ابتداءً من تحليل المتطلبات، مروراً بالمراحل المنطقية، وانتهاءً بالتصميم النهائي للبيانات.",مبتدئ,5 وحدات,نعم,شرح مفهوم قواعد البيانات وأهميتها في التطبيقات الحديثة.
التحول الرقمي و الهوية الرقمية,"تهدف هذه الدورة إلى تزويد المتدربين بفهم شامل لمفهوم التحول الرقمي وأبعاده المختلفة، من خلال استعراض تعريفاته الأساسية، والتمييز بينه وبين مفاهيم قريبة مثل الرقمنة والأتمتة؛ كما تتناول الدورة أبرز التوجهات العالمية في المجال، وخطوات التخطيط والتنفيذ، إضافةً إلى التحديات والعوامل المؤثرة في نجاح أو فشل مشاريع التحول الرقمي.",مبتدئ,21 فيديو تعليمي,نعم,فهم شامل لمفهوم التحول الرقمي وأبعاده والتمييز بينه وبين الرقمنة والأتمتة.
مبادئ التشفير,"تهدف هذه الدورة إلى تزويد المتدربين بالمعرفة الأساسية والعملية في مجال التشفير كأحد أهم تقنيات أمن المعلومات. تغطي الدورة المبادئ الأساسية، أنواع التشفير (المتماثل وغير المتماثل)، وإدارة المفاتيح، بالإضافة إلى تطبيقات عملية على خوارزميات شائعة مثل RSA.",مبتدئ,24 فيديو تعليمي,نعم,ساسيات التشفير وأهدافه في حماية البيانات
مقدمة في تحليل البيانات,"تهدف الدورة إلى التعرف على المفاهيم الأساسية في تحليل البيانات، وفهم أنواعها ومصادرها ومراحل تحليلها، بالإضافة إلى أساسيات تمثيلها.",مبتدئ,20 فيديو تعليمي,نعم,فهم المفهوم الأساسي لتحليل البيانات وأهميته.
Unity 102,"تهدف الدورة إلى التعرف على مفاهيم متقدمة في Unity، وكيفية تجهيز بيئة العمل بشكل احترافي والتعامل مع مكونات المشروع بمرونة أكبر، كما تتضمن إنشاء لعبة بهدف ترسيخ المفاهيم وتطوير المهارات العملية في تصميم الألعاب باستخدام Unity.",مبتدئ,17 فيديو تعليمي,نعم,القدرة على إعداد بيئة تطوير Unity بشكل احترافي واستخدام الأدوات المتقدمة داخل المحرك.
مشروع تطبيقي في UX/UI,"تركّز هذه الدورة على التطبيق العملي في تصميم واجهات وتجربة المستخدم, ستتعلم كيفية تحليل فكرة التطبيق، إنشاء Wireframes، وبناء نظام تصميم موحّد باستخدام Components و Variants. كما ستقوم بإعداد تصميم متجاوب (Responsive)، تنفيذ التفاعلات، وتجهيز المشروع للنشر عبر Behance.",مبتدئ,15 فيديو تعليمي,نعم,تنفيذ مشروع تطبيقي لتصميم واجهات متجر إلكتروني من البداية حتى النشر.
تصميم النماذج الأولية لواجهات المستخدم UI,"تعلم كيفية استخدام أداة Figma لإنشاء نماذج أولية تفاعلية لتصميمات واجهة المستخدم. تغطي الدورة مراحل التصميم من الرسم التخطيطي إلى النموذج الأولي، مع التركيز على إنشاء تصميمات تتجاوب مع مختلف الأجهزة.",مبتدئ,19فيديو تعليمي,نعم,استخدام Figma لإنشاء تصميمات تفاعلية.
البحث و التخطيط في تجربة المستخدم UX,"تركز هذه الدورة على أهمية البحث والتخطيط في تصميم تجربة المستخدم. ستتعلم كيفية إجراء مقابلات المستخدم، إنشاء شخصيات المستخدم، ورسم خرائط رحلات المستخدم لتحسين تجربة المنتج.",مبتدئ,14 فيديو تعليمي,نعم,معرفة كيفية جمع بيانات المستخدم وتحليلها.
أمن الشبكات 102,"تهدف الدورة للتركيز على تقنيات أمان الشبكة الأساسية التي تهدف إلى حماية الشبكات من التهديدات والهجمات، كما تهدف للتعرف على مواضيع مثل التحكم في الوصول إلى الشبكة، تأمين تكوين أجهزة التوجيه والمبدلات، والتعرف على تأمين الشبكات اللاسلكية باستخدام تقنيات التشفير والمصادقة، بالإضافة إلى استخدام بروتوكولات الأمان مثل SSL/TLS وIPSec لحماية البيانات أثناء انتقالها، واستعراض أبرز الهجمات الشبكية مثل هجمات DoS وDNS.",مبتدئ,21 فيديو تعليمي,نعم,تقنيات أمان الشبكة
